"Wallet","ID","Shelf"
"FPwusA9Nk9ozwLKZNh2tmfyqiQ7qhY9o1ALruDAyvmTy2ze","12705299-3208723ec6f65df810-ITEM-192EGG-25","12156904-3208723ec6f65df810-SHELF-VS-6"
"HkRdC1w5XDvQQadAS2nL58mPRBCLyUCZAAiaV7DUWJgj7P8","12705299-3208723ec6f65df810-ITEM-192EGG-48","11922926-3208723ec6f65df810-SHELF-VS-148"
"D7xW9fukGqF89xyKMJapFiogxdcjgfFUWZjGiPz8dKLWH5P","12705368-3208723ec6f65df810-ITEM-192EGG-82","12156904-3208723ec6f65df810-SHELF-VS-23"
"EB1oqZ5MEnEwxhJ5DySCH3pyY55a2CUDfAbYKmLz2QcqWgx","12705368-3208723ec6f65df810-ITEM-192EGG-87","11922926-3208723ec6f65df810-SHELF-VS-364"
"HWWPYwnKiELwBvovuakpDnQer2FdL1behj9mUdiVH3zd2WL","12705395-3208723ec6f65df810-ITEM-192EGG-109","12156928-3208723ec6f65df810-SHELF-VS-155"
"Ho2CDjt8NCNYWi5Jw3uCcqzXpPEgn9PrZArtRaxoj3BUQVM","12705395-3208723ec6f65df810-ITEM-192EGG-113","11996468-3208723ec6f65df810-SHELF-VS-36"
"F4cV55hncmQbSd1dyiaTAkT6quhYMYaEwMvUQwRCXc5zxY1","12705395-3208723ec6f65df810-ITEM-192EGG-135","11922926-3208723ec6f65df810-SHELF-VS-84"
"H1rWvSm9oiqsyb3JQYacfGPnJ1nPgN1bzewupgGhfydS31S","12705395-3208723ec6f65df810-ITEM-192EGG-149","12575556-3208723ec6f65df810-SHELF-VS-67"
"DTPJ7YEShH5CJQgq2ShtYkWTNDvqCGTMrrJj3c4bFHkmwvM","12705428-3208723ec6f65df810-ITEM-192EGG-197","12156904-3208723ec6f65df810-SHELF-VS-86"
"HQyC4UUUJbSY2pdyzrLHNcF2Uv2iGGRt4xQuWbnomPuizZk","12705491-3208723ec6f65df810-ITEM-192EGG-256","13081739-3208723ec6f65df810-SHELF-VS-8"
"HcGC8ZH2q9Yz2qhaTaWBQthCaTem1HqM8jTHAJKpzhSUcey","12705491-3208723ec6f65df810-ITEM-192EGG-286","12307962-3208723ec6f65df810-SHELF-VS-52"
"EXvk92X4EYvPfWJy9t8f8pqK6Gg3m2UM2ig9aECyN5eqGh6","12705523-3208723ec6f65df810-ITEM-192EGG-327","11922926-3208723ec6f65df810-SHELF-VS-185"
"DDHTdiJmJPEjhjTPQJqhkGWwtP8veiRW8WfPXE5HfKS2WMi","12705523-3208723ec6f65df810-ITEM-192EGG-345","12540868-3208723ec6f65df810-SHELF-VS-41"
"DksUmQVCiMrdW8ecZ78hW7iLmVWGrayo5bd3HaB6pwbbiSy","12705560-3208723ec6f65df810-ITEM-192EGG-395","11996468-3208723ec6f65df810-SHELF-VS-20"
"EK8HP4biJ8FBktaREBd9Bt3E85QsVTmpYzn5aou7iiUDDgB","12705593-3208723ec6f65df810-ITEM-192EGG-401","12007739-3208723ec6f65df810-SHELF-VS-1"
"HpbFHQjLCCuBpBwS2wJe8pB4ZrgVxD6w2SGEE1ckzT3Uxs4","12705593-3208723ec6f65df810-ITEM-192EGG-426","11922926-3208723ec6f65df810-SHELF-VS-323"
"DT7kRjGFvRKxGSx5CPUCA1pazj6gzJ6Db11xmkX4yYSNK7m","12705593-3208723ec6f65df810-ITEM-192EGG-439","11996468-3208723ec6f65df810-SHELF-VS-46"
"G2e4YrQ8CQ4yw7iy5yu9yB5vHxJjfS3q4T46ojazqsYkKjV","12705626-3208723ec6f65df810-ITEM-192EGG-473","11922926-3208723ec6f65df810-SHELF-VS-47"
"DE1edhv8VoeE8qtGPaiJ7qUdAaSCApymA8Ksw3n6qayVwEa","12705626-3208723ec6f65df810-ITEM-192EGG-480","11996468-3208723ec6f65df810-SHELF-VS-165"
"HPNCZeMnxgGYLYaXXfTAaPUUSQfXWgvVidyXbZLNEUTQRPP","12705626-3208723ec6f65df810-ITEM-192EGG-499","11922926-3208723ec6f65df810-SHELF-VS-299"
"HsqjddXcYDzmyoP45LP4Sn5K584P7r4YLpxX34xfpZdiiZr","12705698-3208723ec6f65df810-ITEM-192EGG-585","11922926-3208723ec6f65df810-SHELF-VS-349"
"J6WXc5XZWMRuvLnKYMoamcM8As2LdaEkDmewWGQhj19DQjt","12705698-3208723ec6f65df810-ITEM-192EGG-595","12307869-3208723ec6f65df810-SHELF-VS-12"
"G7LZ7HuSs4xpHGvvaYCq2nH1NZYMLEwyPHncDc1vkPJvmhE","12705732-3208723ec6f65df810-ITEM-192EGG-635","12221842-3208723ec6f65df810-SHELF-VS-45"
"Ctm5XhcFmDf8TGAA3GX7Xh1dfoC9uaJhwKK3ngTPZB6zW6g","12705822-3208723ec6f65df810-ITEM-192EGG-24","11922926-3208723ec6f65df810-SHELF-VS-335"
"FkGnS2xetJYEQvB7CypAV1noR8ayYbRDunVyyy1gmEAjYss","12705822-3208723ec6f65df810-ITEM-192EGG-32","12156904-3208723ec6f65df810-SHELF-VS-27"
"J4CXwjCmf4Ci8bz4ZBPo3hgcALTMigwuYeuEPx9an5fWacw","12705892-3208723ec6f65df810-ITEM-192EGG-70","11996468-3208723ec6f65df810-SHELF-VS-18"
"GRbF4idtETicv2LgF3TTCrLyUPbdRmP7N9izZ9uFzNvwVko","12705892-3208723ec6f65df810-ITEM-192EGG-73","11996468-3208723ec6f65df810-SHELF-VS-26"
"DJRN294Dv5GBQKZ8oxDRZvacx4AafGyhGrMcaSGipWBXa3z","12705892-3208723ec6f65df810-ITEM-192EGG-84","11922926-3208723ec6f65df810-SHELF-VS-52"
"EmTfX4QfjCkQdosva79bU94hqmD8urd4nwubZBRP7n5bdKE","12705917-3208723ec6f65df810-ITEM-192EGG-101","12308563-3208723ec6f65df810-SHELF-VS-20"
"Hq7g2Xia3Aoyc21dXvz7Zkjzd2q8ZM6jqJs4Y7nP2YCHyca","12705917-3208723ec6f65df810-ITEM-192EGG-108","12221398-3208723ec6f65df810-SHELF-VS-40"
